"Antecedent_LHS","Consequent_RHS","support","confidence","coverage","lift","count","fishersPValue","pAdjusted"
"LUNCH BAG CARS BLUE + RED RETROSPOT CHARLOTTE BAG","LUNCH BAG  BLACK SKULL.",0.01056,0.63279,0.01669,9.09749,193,0,0
"JUMBO BAG PINK POLKADOT + JUMBO BAG PINK VINTAGE PAISLEY","JUMBO STORAGE BAG SUKI",0.0122,0.58839,0.02074,9.08079,223,0,0
"LUNCH BAG  BLACK SKULL. + LUNCH BAG PINK POLKADOT","LUNCH BAG CARS BLUE",0.01696,0.56985,0.02977,9.0626,310,0,0
"JUMBO  BAG BAROQUE BLACK WHITE + JUMBO BAG PINK POLKADOT","JUMBO SHOPPER VINTAGE RED PAISLEY",0.01319,0.58213,0.02266,9.06063,241,0,0
"LUNCH BAG ALPHABET DESIGN + LUNCH BAG RED RETROSPOT","LUNCH BAG SUKI DESIGN",0.01078,0.63548,0.01696,9.05082,197,0,0
"LUNCH BAG SPACEBOY DESIGN + LUNCH BAG SUKI DESIGN","LUNCH BAG ALPHABET DESIGN",0.01067,0.36585,0.02917,9.04634,195,0,0
"PAPER CHAIN KIT VINTAGE CHRISTMAS","60 CAKE CASES VINTAGE CHRISTMAS",0.01368,0.30637,0.04466,9.04418,250,0,0
"60 CAKE CASES VINTAGE CHRISTMAS","PAPER CHAIN KIT VINTAGE CHRISTMAS",0.01368,0.40388,0.03388,9.04418,250,0,0
"JUMBO BAG RED RETROSPOT + JUMBO SHOPPER VINTAGE RED PAISLEY","JUMBO BAG PINK VINTAGE PAISLEY",0.01593,0.42794,0.03721,9.0402,291,0,0
"JUMBO  BAG BAROQUE BLACK WHITE + JUMBO STORAGE BAG SUKI","JUMBO SHOPPER VINTAGE RED PAISLEY",0.01341,0.58057,0.02309,9.0364,245,0,0
"JUMBO BAG SPACEBOY DESIGN","JUMBO BAG WOODLAND ANIMALS",0.01598,0.42628,0.03749,9.03639,292,0,0
"JUMBO BAG WOODLAND ANIMALS","JUMBO BAG SPACEBOY DESIGN",0.01598,0.33875,0.04717,9.03639,292,0,0
"JUMBO BAG WOODLAND ANIMALS + JUMBO STORAGE BAG SUKI","JUMBO BAG PINK VINTAGE PAISLEY",0.01051,0.42762,0.02457,9.03335,192,0,0
"JUMBO BAG PINK POLKADOT + JUMBO STORAGE BAG SUKI","JUMBO  BAG BAROQUE BLACK WHITE",0.01292,0.45825,0.02818,9.03306,236,0,0
"LUNCH BAG RED RETROSPOT + LUNCH BAG WOODLAND","LUNCH BAG PINK POLKADOT",0.01549,0.53802,0.02879,9.02782,283,0,0
"LUNCH BAG CARS BLUE + LUNCH BAG RED RETROSPOT","LUNCH BAG WOODLAND",0.01521,0.5009,0.03037,9.02659,278,0,0
"JUMBO BAG RED RETROSPOT + JUMBO SHOPPER VINTAGE RED PAISLEY","JUMBO  BAG BAROQUE BLACK WHITE",0.01702,0.45735,0.03721,9.01533,311,0,0
"CHARLOTTE BAG SUKI DESIGN + LUNCH BAG  BLACK SKULL.","LUNCH BAG SUKI DESIGN",0.01056,0.63279,0.01669,9.0124,193,0,0
"JUMBO BAG RED RETROSPOT + JUMBO BAG SCANDINAVIAN BLUE PAISLEY","JUMBO SHOPPER VINTAGE RED PAISLEY",0.01713,0.57856,0.02961,9.00511,313,0,0
"LUNCH BAG DOLLY GIRL DESIGN","LUNCH BAG SPACEBOY DESIGN",0.02123,0.56975,0.03727,8.99831,388,0,0
"LUNCH BAG SPACEBOY DESIGN","LUNCH BAG DOLLY GIRL DESIGN",0.02123,0.33535,0.06332,8.99831,388,0,0
"JUMBO STORAGE BAG SKULLS + JUMBO STORAGE BAG SUKI","JUMBO SHOPPER VINTAGE RED PAISLEY",0.0116,0.57766,0.02008,8.99107,212,0,0
"60 TEATIME FAIRY CAKE CASES","PACK OF 60 PINK PAISLEY CAKE CASES",0.01937,0.42754,0.04531,8.99007,354,0,0
"PACK OF 60 PINK PAISLEY CAKE CASES","60 TEATIME FAIRY CAKE CASES",0.01937,0.40736,0.04756,8.99007,354,0,0
"JUMBO  BAG BAROQUE BLACK WHITE + JUMBO SHOPPER VINTAGE RED PAISLEY","JUMBO STORAGE BAG SUKI",0.01341,0.58195,0.02304,8.98136,245,0,0
"LUNCH BAG  BLACK SKULL. + LUNCH BAG SUKI DESIGN","LUNCH BAG VINTAGE LEAF DESIGN",0.01045,0.32705,0.03196,8.97338,191,0,0
"JUMBO BAG RED RETROSPOT + JUMBO STORAGE BAG SUKI","JUMBO BAG OWLS",0.01264,0.31906,0.03962,8.96953,231,0,0
"JUMBO BAG APPLES + JUMBO BAG PINK POLKADOT","JUMBO STORAGE BAG SUKI",0.0116,0.58082,0.01997,8.96399,212,0,0
"LUNCH BAG  BLACK SKULL. + LUNCH BAG SUKI DESIGN","LUNCH BAG DOLLY GIRL DESIGN",0.01067,0.3339,0.03196,8.95952,195,0,0
"LUNCH BAG SPACEBOY DESIGN + LUNCH BAG SUKI DESIGN","LUNCH BAG CARS BLUE",0.01642,0.56285,0.02917,8.95125,300,0,0
"LUNCH BAG  BLACK SKULL. + LUNCH BAG VINTAGE DOILY","LUNCH BAG PINK POLKADOT",0.01095,0.53333,0.02052,8.94913,200,0,0
"LUNCH BAG ALPHABET DESIGN + LUNCH BAG SUKI DESIGN","LUNCH BAG  BLACK SKULL.",0.01089,0.62187,0.01751,8.94062,199,0,0
"LUNCH BAG  BLACK SKULL. + LUNCH BAG PINK POLKADOT + LUNCH BAG SUKI DESIGN","LUNCH BAG RED RETROSPOT",0.01209,0.76471,0.01582,8.93444,221,0,0
"LUNCH BAG PINK POLKADOT + LUNCH BAG WOODLAND","LUNCH BAG  BLACK SKULL.",0.01346,0.62121,0.02167,8.93109,246,0,0
"JUMBO BAG APPLES + JUMBO BAG RED RETROSPOT","JUMBO BAG WOODLAND ANIMALS",0.01259,0.42125,0.02988,8.92972,230,0,0
"LUNCH BAG CARS BLUE + LUNCH BAG WOODLAND","LUNCH BAG PINK POLKADOT",0.01302,0.53125,0.02452,8.91417,238,0,0
"LUNCH BAG  BLACK SKULL. + LUNCH BAG CARS BLUE + LUNCH BAG PINK POLKADOT","LUNCH BAG SUKI DESIGN",0.01062,0.62581,0.01696,8.91299,194,0,0
"LUNCH BAG ALPHABET DESIGN","LUNCH BAG APPLE DESIGN",0.02041,0.50474,0.04044,8.91115,373,0,0
"LUNCH BAG APPLE DESIGN","LUNCH BAG ALPHABET DESIGN",0.02041,0.36039,0.05664,8.91115,373,0,0
"LUNCH BAG APPLE DESIGN + LUNCH BAG CARS BLUE","LUNCH BAG SPACEBOY DESIGN",0.01133,0.56403,0.02008,8.90801,207,0,0
"LUNCH BAG PINK POLKADOT + LUNCH BAG SPACEBOY DESIGN","LUNCH BAG  BLACK SKULL.",0.0145,0.61916,0.02342,8.90157,265,0,0
"JUMBO BAG APPLES + JUMBO BAG VINTAGE DOILY","JUMBO BAG ALPHABET",0.01029,0.44028,0.02337,8.89962,188,0,0
"JUMBO BAG SPACEBOY DESIGN + JUMBO STORAGE BAG SUKI","JUMBO SHOPPER VINTAGE RED PAISLEY",0.01078,0.57101,0.01888,8.88769,197,0,0
"LUNCH BAG CARS BLUE + LUNCH BAG PINK POLKADOT","LUNCH BAG  BLACK SKULL.",0.01696,0.61753,0.02747,8.87815,310,0,0
"LUNCH BAG PINK POLKADOT + LUNCH BAG SUKI DESIGN","LUNCH BAG  BLACK SKULL.",0.01582,0.61752,0.02561,8.87802,289,0,0
"CHARLOTTE BAG SUKI DESIGN + LUNCH BAG RED RETROSPOT","LUNCH BAG SUKI DESIGN",0.01177,0.62319,0.01888,8.8757,215,0,0
"JUMBO BAG RED RETROSPOT + JUMBO STORAGE BAG SUKI","JUMBO BAG SCANDINAVIAN BLUE PAISLEY",0.01549,0.39088,0.03962,8.87282,283,0,0
"LUNCH BAG RED RETROSPOT + LUNCH BAG VINTAGE LEAF DESIGN","LUNCH BAG SUKI DESIGN",0.0104,0.62295,0.01669,8.87232,190,0,0
"LUNCH BAG  BLACK SKULL. + LUNCH BAG APPLE DESIGN","LUNCH BAG SPACEBOY DESIGN",0.01275,0.56145,0.02271,8.86716,233,0,0
"LUNCH BAG CARS BLUE + LUNCH BAG SUKI DESIGN + LUNCH BAG WOODLAND","LUNCH BAG RED RETROSPOT",0.01067,0.75875,0.01406,8.86492,195,0,0
"JUMBO SHOPPER VINTAGE RED PAISLEY + JUMBO STORAGE BAG SUKI","JUMBO BAG PINK POLKADOT",0.01691,0.58969,0.02868,8.86142,309,0,0
"JUMBO BAG RED RETROSPOT + JUMBO BAG SCANDINAVIAN BLUE PAISLEY","JUMBO BAG PINK POLKADOT",0.01746,0.58965,0.02961,8.86073,319,0,0
"JUMBO BAG SCANDINAVIAN BLUE PAISLEY + JUMBO SHOPPER VINTAGE RED PAISLEY","JUMBO BAG PINK POLKADOT",0.01297,0.58955,0.022,8.85928,237,0,0
"JUMBO BAG RED RETROSPOT + LUNCH BAG PINK POLKADOT","JUMBO BAG PINK POLKADOT",0.01171,0.58953,0.01987,8.85897,214,0,0
"LUNCH BAG SUKI DESIGN + LUNCH BAG WOODLAND","LUNCH BAG PINK POLKADOT",0.01297,0.52784,0.02457,8.85695,237,0,0
"LUNCH BAG PINK POLKADOT + LUNCH BAG RED RETROSPOT","LUNCH BAG DOLLY GIRL DESIGN",0.01095,0.33003,0.03316,8.85564,200,0,0
"LUNCH BAG  BLACK SKULL. + LUNCH BAG SPACEBOY DESIGN","LUNCH BAG CARS BLUE",0.0156,0.55664,0.02802,8.85248,285,0,0
"JUMBO BAG RED RETROSPOT + JUMBO SHOPPER VINTAGE RED PAISLEY","JUMBO STORAGE BAG SUKI",0.02134,0.57353,0.03721,8.85144,390,0,0
"LUNCH BAG CARS BLUE + LUNCH BAG SPACEBOY DESIGN","LUNCH BAG SUKI DESIGN",0.01642,0.62112,0.02643,8.84621,300,0,0
"LUNCH BAG  BLACK SKULL. + LUNCH BAG SPACEBOY DESIGN","LUNCH BAG ALPHABET DESIGN",0.01001,0.35742,0.02802,8.83785,183,0,0
"LUNCH BAG  BLACK SKULL. + LUNCH BAG CARS BLUE","LUNCH BAG WOODLAND",0.01401,0.49042,0.02857,8.83774,256,0,0
"JUMBO BAG APPLES + JUMBO BAG RED RETROSPOT","JUMBO STORAGE BAG SKULLS",0.01012,0.33883,0.02988,8.81966,185,0,0
"LUNCH BAG DOLLY GIRL DESIGN + LUNCH BAG PINK POLKADOT","LUNCH BAG RED RETROSPOT",0.01095,0.75472,0.0145,8.81774,200,0,0
"JUMBO BAG PINK VINTAGE PAISLEY + JUMBO BAG SCANDINAVIAN BLUE PAISLEY","JUMBO SHOPPER VINTAGE RED PAISLEY",0.01237,0.56642,0.02184,8.81612,226,0,0
"JUMBO BAG TOYS","JUMBO STORAGE BAG SUKI",0.01631,0.57088,0.02857,8.81057,298,0,0
"JUMBO BAG PINK VINTAGE PAISLEY + JUMBO SHOPPER VINTAGE RED PAISLEY","JUMBO STORAGE BAG SUKI",0.01302,0.57074,0.02282,8.80844,238,0,0
"LUNCH BAG SPACEBOY DESIGN + LUNCH BAG SUKI DESIGN + LUNCH BAG WOODLAND","LUNCH BAG RED RETROSPOT",0.01073,0.75385,0.01423,8.80756,196,0,0
"PAINTED METAL PEARS ASSORTED","ASSORTED COLOUR BIRD ORNAMENT",0.01417,0.7,0.02025,8.80323,259,0,0
"JUMBO BAG RED RETROSPOT + RECYCLING BAG RETROSPOT","JUMBO BAG PINK POLKADOT",0.0133,0.58554,0.02271,8.79902,243,0,0
"JUMBO BAG SPACEBOY DESIGN + JUMBO STORAGE BAG SUKI","JUMBO BAG PINK POLKADOT",0.01105,0.58551,0.01888,8.7985,202,0,0
"JUMBO  BAG BAROQUE BLACK WHITE + JUMBO BAG PINK POLKADOT","JUMBO STORAGE BAG SUKI",0.01292,0.57005,0.02266,8.79771,236,0,0
"LUNCH BAG SPACEBOY DESIGN + LUNCH BAG SUKI DESIGN","LUNCH BAG WOODLAND",0.01423,0.4878,0.02917,8.79059,260,0,0
"LUNCH BAG CARS BLUE + LUNCH BAG SUKI DESIGN","LUNCH BAG SPACEBOY DESIGN",0.01642,0.55659,0.0295,8.79041,300,0,0
"LUNCH BAG  BLACK SKULL. + LUNCH BAG PINK POLKADOT + LUNCH BAG WOODLAND","LUNCH BAG RED RETROSPOT",0.01012,0.75203,0.01346,8.78637,185,0,0
"LUNCH BAG APPLE DESIGN + LUNCH BAG CARS BLUE","LUNCH BAG PINK POLKADOT",0.01051,0.52316,0.02008,8.77844,192,0,0
"JUMBO BAG PINK POLKADOT + JUMBO BAG RED RETROSPOT","JUMBO BAG SCANDINAVIAN BLUE PAISLEY",0.01746,0.38667,0.04515,8.77709,319,0,0
"JUMBO BAG PINK POLKADOT + JUMBO BAG RED RETROSPOT","JUMBO BAG WOODLAND ANIMALS",0.01866,0.41333,0.04515,8.762,341,0,0
"LUNCH BAG SUKI DESIGN + RED RETROSPOT CHARLOTTE BAG","LUNCH BAG  BLACK SKULL.",0.01067,0.60938,0.01751,8.7609,195,0,0
"60 TEATIME FAIRY CAKE CASES + PACK OF 60 PINK PAISLEY CAKE CASES","PACK OF 72 RETROSPOT CAKE CASES",0.01226,0.63277,0.01937,8.75953,224,0,0
"LUNCH BAG APPLE DESIGN + LUNCH BAG PINK POLKADOT","LUNCH BAG CARS BLUE",0.01051,0.55014,0.0191,8.74915,192,0,0
"JUMBO BAG PINK VINTAGE PAISLEY + JUMBO BAG RED RETROSPOT","JUMBO SHOPPER VINTAGE RED PAISLEY",0.01593,0.56178,0.02835,8.7439,291,0,0
"LUNCH BAG  BLACK SKULL. + LUNCH BAG SUKI DESIGN + LUNCH BAG WOODLAND","LUNCH BAG RED RETROSPOT",0.01105,0.74815,0.01478,8.74099,202,0,0
"LUNCH BAG APPLE DESIGN + LUNCH BAG CARS BLUE","LUNCH BAG  BLACK SKULL.",0.0122,0.60763,0.02008,8.73581,223,0,0
"LUNCH BAG APPLE DESIGN + LUNCH BAG RED RETROSPOT","LUNCH BAG WOODLAND",0.01292,0.4846,0.02665,8.73283,236,0,0
"LUNCH BAG APPLE DESIGN + LUNCH BAG RED RETROSPOT","LUNCH BAG VINTAGE DOILY",0.01396,0.52361,0.02665,8.72993,255,0,0
"LUNCH BAG  BLACK SKULL. + LUNCH BAG PINK POLKADOT + LUNCH BAG SPACEBOY DESIGN","LUNCH BAG RED RETROSPOT",0.01084,0.74717,0.0145,8.72956,198,0,0
"JUMBO BAG VINTAGE LEAF","JUMBO BAG VINTAGE DOILY",0.02824,0.58703,0.0481,8.72099,516,0,0
"JUMBO BAG VINTAGE DOILY","JUMBO BAG VINTAGE LEAF",0.02824,0.41951,0.06731,8.72099,516,0,0
"LUNCH BAG  BLACK SKULL. + RED RETROSPOT CHARLOTTE BAG","LUNCH BAG CARS BLUE",0.01056,0.5483,0.01926,8.71976,193,0,0
"LUNCH BAG RED RETROSPOT + LUNCH BAG SPACEBOY DESIGN","LUNCH BAG PINK POLKADOT",0.01593,0.51964,0.03065,8.71941,291,0,0
"LUNCH BAG  BLACK SKULL. + LUNCH BAG PINK POLKADOT + LUNCH BAG RED RETROSPOT","LUNCH BAG SUKI DESIGN",0.01209,0.61219,0.01976,8.71903,221,0,0
"HEART OF WICKER LARGE + WHITE HANGING HEART T-LIGHT HOLDER","HEART OF WICKER SMALL",0.01122,0.57103,0.01965,8.71716,205,0,0
"LUNCH BAG  BLACK SKULL. + LUNCH BAG SPACEBOY DESIGN","LUNCH BAG SUKI DESIGN",0.01713,0.61133,0.02802,8.70678,313,0,0
"JUMBO BAG RED RETROSPOT + JUMBO BAG VINTAGE LEAF","JUMBO BAG ALPHABET",0.01001,0.43059,0.02326,8.70369,183,0,0
"JUMBO BAG APPLES + JUMBO BAG RED RETROSPOT","JUMBO BAG ALPHABET",0.01286,0.4304,0.02988,8.69995,235,0,0
"LUNCH BAG CARS BLUE + LUNCH BAG RED RETROSPOT","LUNCH BAG SUKI DESIGN",0.01855,0.61081,0.03037,8.69941,339,0,0
"LUNCH BAG APPLE DESIGN + LUNCH BAG SPACEBOY DESIGN","LUNCH BAG SUKI DESIGN",0.01313,0.61069,0.02151,8.69765,240,0,0
"JUMBO BAG WOODLAND ANIMALS + JUMBO STORAGE BAG SUKI","JUMBO  BAG BAROQUE BLACK WHITE",0.01084,0.44098,0.02457,8.69259,198,0,0
"LUNCH BAG  BLACK SKULL. + LUNCH BAG SPACEBOY DESIGN","LUNCH BAG PINK POLKADOT",0.0145,0.51758,0.02802,8.68476,265,0,0
"LUNCH BAG CARS BLUE + LUNCH BAG SUKI DESIGN","LUNCH BAG ALPHABET DESIGN",0.01034,0.35065,0.0295,8.67039,189,0,0
"REGENCY TEA PLATE ROSES","SET OF 3 REGENCY CAKE TINS",0.01001,0.41216,0.0243,8.66679,183,0,0
"LUNCH BAG SPACEBOY DESIGN + LUNCH BAG WOODLAND","LUNCH BAG CARS BLUE",0.01428,0.54489,0.02621,8.66552,261,0,0
"SCOTTIE DOG HOT WATER BOTTLE","CHOCOLATE HOT WATER BOTTLE",0.01702,0.4039,0.04214,8.66243,311,0,0
"CHOCOLATE HOT WATER BOTTLE","SCOTTIE DOG HOT WATER BOTTLE",0.01702,0.36502,0.04663,8.66243,311,0,0
"LUNCH BAG  BLACK SKULL. + LUNCH BAG PINK POLKADOT + LUNCH BAG RED RETROSPOT","LUNCH BAG SPACEBOY DESIGN",0.01084,0.54848,0.01976,8.66233,198,0,0
"CHARLOTTE BAG APPLES DESIGN","LUNCH BAG APPLE DESIGN",0.01565,0.49057,0.0319,8.66098,286,0,0
"LUNCH BAG  BLACK SKULL. + LUNCH BAG WOODLAND","LUNCH BAG SUKI DESIGN",0.01478,0.60811,0.0243,8.66092,270,0,0
"JUMBO BAG RED RETROSPOT + JUMBO STORAGE BAG SUKI","JUMBO  BAG BAROQUE BLACK WHITE",0.0174,0.43923,0.03962,8.65802,318,0,0
"RECIPE BOX BLUE SKETCHBOOK DESIGN","RECIPE BOX PANTRY YELLOW DESIGN",0.01023,0.52528,0.01948,8.65506,187,0,0
"LUNCH BAG ALPHABET DESIGN + LUNCH BAG SPACEBOY DESIGN","LUNCH BAG  BLACK SKULL.",0.01001,0.60197,0.01664,8.6545,183,0,0
"JUMBO BAG TOYS","JUMBO BAG SCANDINAVIAN BLUE PAISLEY",0.01089,0.38123,0.02857,8.65359,199,0,0
"LUNCH BAG  BLACK SKULL. + LUNCH BAG SPACEBOY DESIGN + LUNCH BAG WOODLAND","LUNCH BAG RED RETROSPOT",0.01062,0.74046,0.01434,8.65114,194,0,0
"JUMBO BAG RED RETROSPOT + JUMBO SHOPPER VINTAGE RED PAISLEY","JUMBO STORAGE BAG SKULLS",0.01237,0.33235,0.03721,8.65112,226,0,0
"LUNCH BAG SUKI DESIGN + LUNCH BAG WOODLAND","LUNCH BAG  BLACK SKULL.",0.01478,0.60134,0.02457,8.64533,270,0,0
"JUMBO BAG RED RETROSPOT + JUMBO BAG WOODLAND ANIMALS","JUMBO SHOPPER VINTAGE RED PAISLEY",0.01625,0.55514,0.02928,8.64061,297,0,0
"LUNCH BAG APPLE DESIGN + LUNCH BAG SUKI DESIGN","LUNCH BAG WOODLAND",0.01177,0.47884,0.02457,8.62907,215,0,0
"LUNCH BAG  BLACK SKULL. + LUNCH BAG CARS BLUE","LUNCH BAG SPACEBOY DESIGN",0.0156,0.54598,0.02857,8.62285,285,0,0
"JUMBO BAG APPLES + JUMBO SHOPPER VINTAGE RED PAISLEY","JUMBO BAG PINK POLKADOT",0.01045,0.57357,0.01822,8.61917,191,0,0
"LUNCH BAG RED RETROSPOT + LUNCH BAG VINTAGE DOILY","LUNCH BAG PINK POLKADOT",0.01297,0.51299,0.02528,8.60772,237,0,0
"JUMBO  BAG BAROQUE BLACK WHITE + JUMBO SHOPPER VINTAGE RED PAISLEY","JUMBO BAG PINK POLKADOT",0.01319,0.57245,0.02304,8.60223,241,0,0
"JAM MAKING SET WITH JARS + SET OF 3 CAKE TINS PANTRY DESIGN","JAM MAKING SET PRINTED",0.01127,0.54211,0.0208,8.59886,206,0,0
"LUNCH BAG  BLACK SKULL. + LUNCH BAG CARS BLUE","LUNCH BAG SUKI DESIGN",0.01724,0.60345,0.02857,8.59455,315,0,0
"LUNCH BAG CARS BLUE + LUNCH BAG SUKI DESIGN","LUNCH BAG WOODLAND",0.01406,0.47681,0.0295,8.59244,257,0,0
"SET OF 20 VINTAGE CHRISTMAS NAPKINS","PAPER CHAIN KIT VINTAGE CHRISTMAS",0.01281,0.38361,0.03338,8.59025,234,0,0
"JUMBO BAG RED RETROSPOT + JUMBO BAG WOODLAND ANIMALS","JUMBO  BAG BAROQUE BLACK WHITE",0.01275,0.43551,0.02928,8.58484,233,0,0
"LUNCH BAG APPLE DESIGN + LUNCH BAG SUKI DESIGN","LUNCH BAG  BLACK SKULL.",0.01467,0.59688,0.02457,8.58129,268,0,0
"LUNCH BAG ALPHABET DESIGN + LUNCH BAG RED RETROSPOT","LUNCH BAG  BLACK SKULL.",0.01012,0.59677,0.01696,8.57974,185,0,0
"JUMBO STORAGE BAG SUKI + LUNCH BAG RED RETROSPOT","LUNCH BAG SUKI DESIGN",0.01127,0.60234,0.01872,8.57876,206,0,0
"LUNCH BAG  BLACK SKULL. + LUNCH BAG SUKI DESIGN","LUNCH BAG CARS BLUE",0.01724,0.53938,0.03196,8.57803,315,0,0
"JUMBO BAG RED RETROSPOT + JUMBO STORAGE BAG SUKI","JUMBO BAG PINK POLKADOT",0.0226,0.57044,0.03962,8.57211,413,0,0
"LUNCH BAG APPLE DESIGN + LUNCH BAG SUKI DESIGN","LUNCH BAG CARS BLUE",0.01324,0.53898,0.02457,8.57154,242,0,0
"LUNCH BAG  BLACK SKULL. + RED RETROSPOT CHARLOTTE BAG","LUNCH BAG SPACEBOY DESIGN",0.01045,0.54261,0.01926,8.56973,191,0,0
"JUMBO BAG RED RETROSPOT + JUMBO BAG VINTAGE DOILY","JUMBO BAG APPLES",0.01445,0.45754,0.03158,8.5662,264,0,0
"LUNCH BAG PINK POLKADOT + LUNCH BAG RED RETROSPOT","LUNCH BAG  BLACK SKULL.",0.01976,0.59571,0.03316,8.56444,361,0,0
"LUNCH BAG VINTAGE LEAF DESIGN","LUNCH BAG VINTAGE DOILY",0.01872,0.51351,0.03645,8.56153,342,0,0
"LUNCH BAG VINTAGE DOILY","LUNCH BAG VINTAGE LEAF DESIGN",0.01872,0.31204,0.05998,8.56153,342,0,0
"JUMBO BAG PINK VINTAGE PAISLEY + JUMBO BAG RED RETROSPOT","JUMBO BAG PINK POLKADOT",0.01614,0.5695,0.02835,8.55793,295,0,0
"LUNCH BAG  BLACK SKULL. + LUNCH BAG APPLE DESIGN","LUNCH BAG VINTAGE DOILY",0.01166,0.51325,0.02271,8.55718,213,0,0
"LUNCH BAG RED RETROSPOT + LUNCH BAG SUKI DESIGN","LUNCH BAG WOODLAND",0.01702,0.47481,0.03585,8.5564,311,0,0
"LUNCH BAG  BLACK SKULL. + LUNCH BAG WOODLAND","LUNCH BAG APPLE DESIGN",0.01177,0.48423,0.0243,8.54919,215,0,0
"LUNCH BAG  BLACK SKULL. + LUNCH BAG APPLE DESIGN","LUNCH BAG CARS BLUE",0.0122,0.53735,0.02271,8.54568,223,0,0
"LUNCH BAG CARS BLUE + LUNCH BAG PINK POLKADOT","LUNCH BAG WOODLAND",0.01302,0.4741,0.02747,8.54368,238,0,0
"JUMBO  BAG BAROQUE BLACK WHITE + JUMBO BAG RED RETROSPOT","JUMBO STORAGE BAG SKULLS",0.01051,0.32821,0.03201,8.54315,192,0,0
"JUMBO BAG RED RETROSPOT + JUMBO BAG SCANDINAVIAN BLUE PAISLEY","JUMBO BAG WOODLAND ANIMALS",0.01193,0.40296,0.02961,8.54204,218,0,0
"JUMBO BAG PINK POLKADOT + JUMBO BAG RED RETROSPOT","JUMBO BAG SPACEBOY DESIGN",0.01445,0.32,0.04515,8.53629,264,0,0
"LUNCH BAG  BLACK SKULL. + LUNCH BAG CARS BLUE + LUNCH BAG SUKI DESIGN","LUNCH BAG RED RETROSPOT",0.01259,0.73016,0.01724,8.53081,230,0,0
"LUNCH BAG CARS BLUE + LUNCH BAG PINK POLKADOT + LUNCH BAG SPACEBOY DESIGN","LUNCH BAG RED RETROSPOT",0.01051,0.73004,0.01439,8.5294,192,0,0
"JUMBO BAG APPLES + JUMBO BAG RED RETROSPOT","JUMBO BAG VINTAGE LEAF",0.01226,0.41026,0.02988,8.52857,224,0,0
"LUNCH BAG PINK POLKADOT + LUNCH BAG WOODLAND","LUNCH BAG SUKI DESIGN",0.01297,0.59848,0.02167,8.52386,237,0,0
"LUNCH BAG APPLE DESIGN + LUNCH BAG SPACEBOY DESIGN","LUNCH BAG  BLACK SKULL.",0.01275,0.59288,0.02151,8.52369,233,0,0
"JUMBO BAG PINK VINTAGE PAISLEY + JUMBO BAG RED RETROSPOT","JUMBO BAG WOODLAND ANIMALS",0.01138,0.40154,0.02835,8.51209,208,0,0
"JUMBO BAG SPACEBOY DESIGN","JUMBO STORAGE BAG SKULLS",0.01226,0.32701,0.03749,8.51197,224,0,0
"JUMBO STORAGE BAG SKULLS","JUMBO BAG SPACEBOY DESIGN",0.01226,0.31909,0.03842,8.51197,224,0,0
"JUMBO BAG RED RETROSPOT + JUMBO STORAGE BAG SKULLS","JUMBO SHOPPER VINTAGE RED PAISLEY",0.01237,0.54589,0.02266,8.49669,226,0,0
"LUNCH BAG APPLE DESIGN + LUNCH BAG WOODLAND","LUNCH BAG VINTAGE DOILY",0.01029,0.50949,0.02019,8.49436,188,0,0
"JUMBO BAG APPLES + JUMBO STORAGE BAG SUKI","JUMBO SHOPPER VINTAGE RED PAISLEY",0.01122,0.54521,0.02058,8.48609,205,0,0
"LUNCH BAG CARS BLUE + LUNCH BAG SPACEBOY DESIGN","LUNCH BAG  BLACK SKULL.",0.0156,0.59006,0.02643,8.48325,285,0,0
"LUNCH BAG  BLACK SKULL. + LUNCH BAG CARS BLUE + LUNCH BAG PINK POLKADOT","LUNCH BAG RED RETROSPOT",0.01231,0.72581,0.01696,8.47996,225,0,0
"LUNCH BAG RED RETROSPOT + LUNCH BAG SUKI DESIGN","LUNCH BAG PINK POLKADOT",0.01811,0.50534,0.03585,8.47947,331,0,0
"JUMBO BAG APPLES + JUMBO STORAGE BAG SUKI","JUMBO BAG PINK POLKADOT",0.0116,0.56383,0.02058,8.47275,212,0,0
"LUNCH BAG  BLACK SKULL. + LUNCH BAG SUKI DESIGN","LUNCH BAG SPACEBOY DESIGN",0.01713,0.53596,0.03196,8.46463,313,0,0
"LUNCH BAG SUKI DESIGN + LUNCH BAG WOODLAND","LUNCH BAG APPLE DESIGN",0.01177,0.47884,0.02457,8.45399,215,0,0
"JUMBO BAG APPLES + LUNCH BAG APPLE DESIGN","LUNCH BAG VINTAGE DOILY",0.01012,0.50685,0.01997,8.45042,185,0,0
"LUNCH BAG PINK POLKADOT + LUNCH BAG RED RETROSPOT","LUNCH BAG CARS BLUE",0.01762,0.53135,0.03316,8.45032,322,0,0
"LUNCH BAG APPLE DESIGN + LUNCH BAG PINK POLKADOT","LUNCH BAG SUKI DESIGN",0.01133,0.59312,0.0191,8.4475,207,0,0
"LUNCH BAG APPLE DESIGN + LUNCH BAG PINK POLKADOT","LUNCH BAG  BLACK SKULL.",0.01122,0.58739,0.0191,8.44487,205,0,0
"JUMBO  BAG BAROQUE BLACK WHITE + JUMBO BAG RED RETROSPOT","JUMBO BAG WOODLAND ANIMALS",0.01275,0.39829,0.03201,8.44311,233,0,0
